"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"182","13217","Newton County, Georgia",41515,592,39850,1042,34785,1788,1791,871,38059,1346,5065,1756,1665,840
"183","13223","Paulding County, Georgia",58025,1692,57563,1772,52782,2247,1141,604,56422,1841,4781,1322,462,439
"184","13245","Richmond County, Georgia",74476,2795,70666,2991,53738,3249,2692,1141,67974,2964,16928,2335,3810,1147
"185","13247","Rockdale County, Georgia",33141,1169,31495,1459,26434,2011,1761,1200,29734,1751,5061,1533,1646,871
"186","13255","Spalding County, Georgia",25696,981,23043,1340,19034,1574,731,623,22312,1470,4009,1275,2653,1010
"187","13285","Troup County, Georgia",26768,982,24795,1120,19790,1525,674,423,24121,1212,5005,1194,1973,735
"188","13295","Walker County, Georgia",26315,1092,24764,1211,18844,1830,887,488,23877,1300,5920,1627,1551,653
"189","13297","Walton County, Georgia",35628,628,34058,920,29161,1433,957,453,33101,1086,4897,1149,1570,699
"190","13313","Whitfield County, Georgia",35746,1192,32820,1435,24603,1759,823,431,31997,1466,8217,1633,2926,1050
"191","15001","Hawaii County, Hawaii",72194,2449,67233,2595,56858,2667,2578,860,64655,2837,10375,1861,4961,1250
"192","15003","Honolulu County, Hawaii",338093,3369,324336,3914,286016,4626,8144,1248,316192,4108,38320,2768,13757,1933
"193","15007","Kauai County, Hawaii",23464,1153,22708,1245,19174,1252,489,418,22219,1245,3534,672,756,429
"194","15009","Maui County, Hawaii",56319,1832,53568,2129,47043,2176,1312,529,52256,2209,6525,1325,2751,888
"195","16001","Ada County, Idaho",196255,2415,190848,2647,180975,2977,5594,1583,185254,3015,9873,1876,5407,1538
"196","16005","Bannock County, Idaho",33557,890,31392,1047,27096,1385,460,291,30932,1104,4296,977,2165,727
"197","16019","Bonneville County, Idaho",42905,1169,41409,1397,35302,1641,987,399,40422,1444,6107,1326,1496,614
