"","GEOID","NAME","variable","estimate","moe","summary_est","summary_moe"
"9697","19163013702","Census Tract 137.02, Scott County, Iowa","Arabic",0,15,5344,537
"9698","19163013702","Census Tract 137.02, Scott County, Iowa","Other and unspecified languages",0,15,5344,537
"9699","19163013703","Census Tract 137.03, Scott County, Iowa","Speak only English",2519,319,2607,323
"9700","19163013703","Census Tract 137.03, Scott County, Iowa","Spanish",18,19,2607,323
"9701","19163013703","Census Tract 137.03, Scott County, Iowa","French, Haitian, or Cajun",0,10,2607,323
"9702","19163013703","Census Tract 137.03, Scott County, Iowa","German or other West Germanic languages",0,10,2607,323
"9703","19163013703","Census Tract 137.03, Scott County, Iowa","Russian, Polish, or other Slavic languages",41,55,2607,323
"9704","19163013703","Census Tract 137.03, Scott County, Iowa","Other Indo-European languages",0,10,2607,323
"9705","19163013703","Census Tract 137.03, Scott County, Iowa","Korean",8,13,2607,323
"9706","19163013703","Census Tract 137.03, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,2607,323
"9707","19163013703","Census Tract 137.03, Scott County, Iowa","Vietnamese",0,10,2607,323
"9708","19163013703","Census Tract 137.03, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,2607,323
"9709","19163013703","Census Tract 137.03, Scott County, Iowa","Other Asian and Pacific Island languages",21,27,2607,323
"9710","19163013703","Census Tract 137.03, Scott County, Iowa","Arabic",0,10,2607,323
"9711","19163013703","Census Tract 137.03, Scott County, Iowa","Other and unspecified languages",0,10,2607,323
"9712","19163013705","Census Tract 137.05, Scott County, Iowa","Speak only English",4806,649,5063,610
"9713","19163013705","Census Tract 137.05, Scott County, Iowa","Spanish",114,125,5063,610
"9714","19163013705","Census Tract 137.05, Scott County, Iowa","French, Haitian, or Cajun",0,15,5063,610
"9715","19163013705","Census Tract 137.05, Scott County, Iowa","German or other West Germanic languages",0,15,5063,610
"9716","19163013705","Census Tract 137.05, Scott County, Iowa","Russian, Polish, or other Slavic languages",68,104,5063,610
"9717","19163013705","Census Tract 137.05, Scott County, Iowa","Other Indo-European languages",53,94,5063,610
"9718","19163013705","Census Tract 137.05, Scott County, Iowa","Korean",0,15,5063,610
"9719","19163013705","Census Tract 137.05, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,15,5063,610
"9720","19163013705","Census Tract 137.05, Scott County, Iowa","Vietnamese",0,15,5063,610
"9721","19163013705","Census Tract 137.05, Scott County, Iowa","Tagalog (incl. Filipino)",0,15,5063,610
"9722","19163013705","Census Tract 137.05, Scott County, Iowa","Other Asian and Pacific Island languages",21,35,5063,610
"9723","19163013705","Census Tract 137.05, Scott County, Iowa","Arabic",0,15,5063,610
"9724","19163013705","Census Tract 137.05, Scott County, Iowa","Other and unspecified languages",1,2,5063,610
"9725","19163013706","Census Tract 137.06, Scott County, Iowa","Speak only English",6140,657,7557,628
"9726","19163013706","Census Tract 137.06, Scott County, Iowa","Spanish",223,201,7557,628
"9727","19163013706","Census Tract 137.06, Scott County, Iowa","French, Haitian, or Cajun",0,15,7557,628
"9728","19163013706","Census Tract 137.06, Scott County, Iowa","German or other West Germanic languages",56,61,7557,628
"9729","19163013706","Census Tract 137.06, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,15,7557,628
"9730","19163013706","Census Tract 137.06, Scott County, Iowa","Other Indo-European languages",661,313,7557,628
"9731","19163013706","Census Tract 137.06, Scott County, Iowa","Korean",36,52,7557,628
"9732","19163013706","Census Tract 137.06, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",64,88,7557,628
"9733","19163013706","Census Tract 137.06, Scott County, Iowa","Vietnamese",0,15,7557,628
"9734","19163013706","Census Tract 137.06, Scott County, Iowa","Tagalog (incl. Filipino)",68,98,7557,628
"9735","19163013706","Census Tract 137.06, Scott County, Iowa","Other Asian and Pacific Island languages",265,162,7557,628
"9736","19163013706","Census Tract 137.06, Scott County, Iowa","Arabic",31,55,7557,628
"9737","19163013706","Census Tract 137.06, Scott County, Iowa","Other and unspecified languages",13,20,7557,628
"9738","19165960100","Census Tract 9601, Shelby County, Iowa","Speak only English",2790,243,2820,238
"9739","19165960100","Census Tract 9601, Shelby County, Iowa","Spanish",25,26,2820,238
"9740","19165960100","Census Tract 9601, Shelby County, Iowa","French, Haitian, or Cajun",2,3,2820,238
"9741","19165960100","Census Tract 9601, Shelby County, Iowa","German or other West Germanic languages",0,10,2820,238
"9742","19165960100","Census Tract 9601, Shelby County, Iowa","Russian, Polish, or other Slavic languages",0,10,2820,238
"9743","19165960100","Census Tract 9601, Shelby County, Iowa","Other Indo-European languages",3,4,2820,238
"9744","19165960100","Census Tract 9601, Shelby County, Iowa","Korean",0,10,2820,238
"9745","19165960100","Census Tract 9601, Shelby County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,2820,238
"9746","19165960100","Census Tract 9601, Shelby County, Iowa","Vietnamese",0,10,2820,238
"9747","19165960100","Census Tract 9601, Shelby County, Iowa","Tagalog (incl. Filipino)",0,10,2820,238
"9748","19165960100","Census Tract 9601, Shelby County, Iowa","Other Asian and Pacific Island languages",0,10,2820,238
"9749","19165960100","Census Tract 9601, Shelby County, Iowa","Arabic",0,10,2820,238
"9750","19165960100","Census Tract 9601, Shelby County, Iowa","Other and unspecified languages",0,10,2820,238
"9751","19165960200","Census Tract 9602, Shelby County, Iowa","Speak only English",2714,301,2804,306
"9752","19165960200","Census Tract 9602, Shelby County, Iowa","Spanish",88,82,2804,306
"9753","19165960200","Census Tract 9602, Shelby County, Iowa","French, Haitian, or Cajun",2,3,2804,306
"9754","19165960200","Census Tract 9602, Shelby County, Iowa","German or other West Germanic languages",0,10,2804,306
"9755","19165960200","Census Tract 9602, Shelby County, Iowa","Russian, Polish, or other Slavic languages",0,10,2804,306
"9756","19165960200","Census Tract 9602, Shelby County, Iowa","Other Indo-European languages",0,10,2804,306
"9757","19165960200","Census Tract 9602, Shelby County, Iowa","Korean",0,10,2804,306
"9758","19165960200","Census Tract 9602, Shelby County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,2804,306
"9759","19165960200","Census Tract 9602, Shelby County, Iowa","Vietnamese",0,10,2804,306
"9760","19165960200","Census Tract 9602, Shelby County, Iowa","Tagalog (incl. Filipino)",0,10,2804,306
"9761","19165960200","Census Tract 9602, Shelby County, Iowa","Other Asian and Pacific Island languages",0,10,2804,306
"9762","19165960200","Census Tract 9602, Shelby County, Iowa","Arabic",0,10,2804,306
"9763","19165960200","Census Tract 9602, Shelby County, Iowa","Other and unspecified languages",0,10,2804,306
"9764","19165960300","Census Tract 9603, Shelby County, Iowa","Speak only English",3585,295,3695,313
"9765","19165960300","Census Tract 9603, Shelby County, Iowa","Spanish",95,50,3695,313
